Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,461,486,498,568,641,658,690
2020-03-02,366,389,404,527,655,679,728
2020-03-03,413,435,446,514,590,607,652
2020-03-04,465,489,503,573,649,664,698
2020-03-05,460,531,565,657,744,762,796
2020-03-06,468,523,558,673,771,789,828
2020-03-07,447,483,506,626,757,788,843
2020-03-08,458,498,519,648,789,824,883
2020-03-09,474,518,540,679,833,866,938
2020-03-10,701,739,759,866,981,1007,1060
2020-03-11,1273,1320,1355,1493,1641,1670,1768
2020-03-12,1494,1555,1580,1746,1931,1966,2029
2020-03-13,1012,1088,1128,1358,1608,1661,1781
2020-03-14,1144,1234,1278,1546,1835,1896,2014
2020-03-15,1260,1363,1417,1728,2061,2131,2284
2020-03-16,1971,2194,2272,2575,2885,2945,3074
2020-03-17,2486,2591,2646,2979,3338,3403,3567
2020-03-18,3006,3136,3206,3612,4058,4133,4314
2020-03-19,2808,3061,3209,4207,4977,5085,5295
2020-03-20,3547,3986,4266,5174,5876,6032,6290
2020-03-21,4841,5219,5364,6071,6804,6971,7301
2020-03-22,4942,5203,5339,6106,6956,7154,7620
2020-03-23,4761,5021,5217,6915,8908,9260,9957
2020-03-24,4845,5100,5203,6965,9924,10417,11210
2020-03-25,4853,5143,5292,6603,9796,10859,12370
2020-03-26,5524,5786,5930,6837,7857,8169,9315
2020-03-27,5536,5820,5940,6924,8265,8752,9722
2020-03-28,5632,5919,6083,7147,8790,9324,10312
2020-03-29,5335,5619,5817,7794,10065,10453,11472
2020-03-30,6025,6588,6890,8744,10873,11331,12238
2020-03-31,6166,6753,7058,9155,11564,12093,13136
2020-04-01,5327,5686,6097,8570,11102,11575,12708
2020-04-02,4778,5010,5149,5979,7000,7402,8916
2020-04-03,4504,4751,4883,5619,6451,6684,7369
2020-04-04,4469,4684,4807,5526,6403,6682,7441
2020-04-05,3985,4221,4317,4994,5874,6215,7021
2020-04-06,3352,3521,3611,4258,5271,5652,6367
2020-04-07,2731,2862,2938,3447,4136,4487,5215
2020-04-08,2512,2920,3064,3604,4192,4318,4573
2020-04-09,2041,2400,2625,3712,4391,4471,4731
2020-04-10,2160,2883,3103,3643,4208,4311,4566
2020-04-11,2077,2383,2543,3686,4582,4691,4957
2020-04-12,2179,2694,3024,3686,4294,4411,4637
2020-04-13,2514,2660,2730,3133,3573,3680,3877
2020-04-14,2330,2469,2535,2903,3320,3418,3618
2020-04-15,2095,2217,2283,2627,3002,3091,3288
2020-04-16,1635,1792,1888,2652,3499,3601,3835
2020-04-17,1525,1777,1938,2942,3529,3635,3770
2020-04-18,1756,2366,2610,3132,3604,3710,3895
2020-04-19,2327,2492,2568,2962,3399,3486,3654
2020-04-20,1949,2053,2106,2445,2841,2977,3323
2020-04-21,2090,2233,2302,2647,3030,3117,3297
2020-04-22,1945,2222,2393,3000,3471,3561,3739
2020-04-23,2134,2264,2324,2685,3084,3174,3349
2020-04-24,2280,2449,2521,2905,3315,3399,3571
2020-04-25,2028,2125,2184,2524,2910,3003,3255
2020-04-26,1958,2072,2127,2451,2811,2904,3110
2020-04-27,1622,1686,1730,2085,2685,2858,3212
2020-04-28,1721,1815,1867,2151,2472,2548,2708
2020-04-29,1682,1782,1831,2110,2415,2485,2631
2020-04-30,1560,1649,1691,1947,2225,2288,2424
2020-05-01,1574,1665,1707,1964,2249,2312,2435
2020-05-02,1531,1614,1659,1907,2182,2237,2370
2020-05-03,1233,1307,1344,1574,1862,1987,2261
2020-05-04,1079,1146,1175,1388,1663,1774,2024
2020-05-05,954,1003,1032,1212,1438,1535,1789
2020-05-06,1024,1139,1176,1367,1570,1616,1707
2020-05-07,1023,1123,1157,1341,1533,1574,1667
2020-05-08,1021,1092,1124,1296,1486,1523,1604
2020-05-09,900,953,980,1133,1304,1348,1445
2020-05-10,720,763,783,932,1150,1245,1402
2020-05-11,649,683,701,826,978,1025,1182
2020-05-12,574,639,672,982,1326,1379,1482
2020-05-13,661,723,751,886,1039,1073,1138
2020-05-14,751,798,821,954,1104,1130,1191
2020-05-15,650,688,707,823,954,984,1062
2020-05-16,677,720,740,859,988,1015,1076
2020-05-17,573,607,624,728,848,878,969
2020-05-18,427,457,473,631,876,914,1001
2020-05-19,526,619,649,767,892,918,969
2020-05-20,532,568,584,681,789,808,858
2020-05-21,520,551,566,656,757,781,826
2020-05-22,515,547,564,654,754,774,824
2020-05-23,521,553,568,659,756,777,823
2020-05-24,451,476,489,571,665,690,747
2020-05-25,337,369,396,572,731,761,829
2020-05-26,344,362,373,458,580,629,714
2020-05-27,405,457,473,554,642,662,697
2020-05-28,447,474,489,568,652,672,710
2020-05-29,415,439,451,524,605,623,662
2020-05-30,358,378,390,457,539,562,623
2020-05-31,300,320,330,398,507,548,617
2020-06-01,231,265,296,416,537,565,625
2020-06-02,262,281,290,347,413,434,495
2020-06-03,257,273,282,331,386,399,423
2020-06-04,165,176,183,224,284,312,359
2020-06-05,165,183,192,257,341,392,460
