Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,1,1,1,1
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,2,3,4,5
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,1,1,1,2,3,3,4
2020-03-16,1,1,1,2,3,4,5
2020-03-17,1,1,1,2,3,3,4
2020-03-18,1,1,1,2,4,4,5
2020-03-19,1,1,1,2,3,4,5
2020-03-20,1,1,1,2,4,4,5
2020-03-21,1,1,1,3,5,5,6
2020-03-22,1,1,1,2,4,4,5
2020-03-23,1,2,2,4,6,7,8
2020-03-24,1,2,2,4,7,7,9
2020-03-25,0,0,0,1,3,4,7
2020-03-26,1,2,2,4,7,7,9
2020-03-27,1,1,2,4,6,7,8
2020-03-28,0,0,0,1,4,5,6
2020-03-29,0,0,0,1,4,4,6
2020-03-30,1,1,1,2,4,4,6
2020-03-31,1,1,1,2,4,5,6
2020-04-01,1,1,1,3,5,6,7
2020-04-02,1,1,1,2,5,5,6
2020-04-03,1,2,2,4,6,7,8
2020-04-04,2,3,3,6,9,10,11
2020-04-05,3,3,4,8,13,13,16
2020-04-06,4,5,5,10,15,16,20
2020-04-07,5,6,7,12,18,20,25
2020-04-08,7,9,10,16,22,24,28
2020-04-09,13,16,16,25,35,38,43
2020-04-10,18,21,22,32,43,45,50
2020-04-11,34,37,38,47,57,59,62
2020-04-12,68,72,74,86,101,103,106
2020-04-13,46,47,51,65,88,100,123
2020-04-14,53,59,61,80,100,105,113
2020-04-15,62,68,72,94,117,122,136
2020-04-16,96,102,106,139,173,178,207
2020-04-17,171,181,186,214,244,250,263
2020-04-18,209,221,227,261,298,307,321
2020-04-19,234,247,254,295,339,348,368
2020-04-20,249,276,295,399,472,483,509
2020-04-21,341,363,375,435,500,513,539
2020-04-22,340,359,371,441,529,557,620
2020-04-23,361,382,393,461,550,589,672
2020-04-24,419,442,455,526,607,628,678
2020-04-25,366,412,448,596,742,778,861
2020-04-26,401,427,434,563,772,818,913
2020-04-27,416,441,460,549,645,686,831
2020-04-28,447,474,490,576,668,688,728
2020-04-29,496,533,550,639,738,757,801
2020-04-30,471,499,514,601,696,718,775
