Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,22,24,26,33,41,43,47
2020-03-02,24,27,29,37,45,47,50
2020-03-03,22,27,30,42,52,54,58
2020-03-04,23,28,31,43,54,56,60
2020-03-05,27,31,33,42,51,54,58
2020-03-06,23,27,29,44,62,65,69
2020-03-07,28,35,37,47,58,60,65
2020-03-08,34,37,39,49,59,62,67
2020-03-09,31,35,37,52,67,71,77
2020-03-10,36,40,43,58,75,79,86
2020-03-11,42,47,50,67,85,89,97
2020-03-12,191,195,197,211,225,232,252
2020-03-13,203,211,215,238,263,269,282
2020-03-14,196,204,209,236,265,271,283
2020-03-15,134,146,153,191,233,241,258
2020-03-16,160,174,182,227,276,287,306
2020-03-17,185,202,211,263,318,331,354
2020-03-18,310,310,310,310,310,310,310
2020-03-19,551,572,583,646,711,724,751
2020-03-20,667,694,707,781,859,875,907
2020-03-21,723,755,771,860,956,972,1020
2020-03-22,574,617,641,773,917,951,1028
2020-03-23,684,738,764,922,1093,1127,1196
2020-03-24,793,850,883,1071,1273,1320,1401
2020-03-25,1033,1069,1088,1370,1625,1742,2007
2020-03-26,1970,2049,2092,2358,2637,2716,2819
2020-03-27,2303,2398,2447,2757,3087,3156,3278
2020-03-28,2355,2466,2530,2873,3246,3323,3489
2020-03-29,2557,2684,2749,3154,3590,3700,3972
2020-03-30,3375,3573,3657,4159,4701,4820,5055
2020-03-31,3811,3986,4083,4639,5247,5389,5653
2020-04-01,4277,4496,4611,5242,5924,6103,6406
2020-04-02,4508,4751,4870,5596,6478,6754,7443
2020-04-03,4707,4938,5066,6057,7644,8041,8905
2020-04-04,4697,5224,5731,7530,9257,9645,10394
2020-04-05,5720,6317,6663,8552,10562,11029,11999
2020-04-06,5210,5445,5585,8345,11491,12006,13060
2020-04-07,5087,5324,5453,6249,7135,7399,8920
2020-04-08,4936,5184,5312,6085,6953,7132,7613
2020-04-09,4836,5110,5233,6293,7911,8305,9052
2020-04-10,4614,4906,5068,6706,8352,8682,9333
2020-04-11,4687,5391,5665,7030,8523,8868,9510
2020-04-12,4388,5122,5407,6850,8373,8653,9329
2020-04-13,3980,4218,4321,5232,6902,7264,8160
2020-04-14,3784,3987,4084,4707,5420,5563,5882
2020-04-15,4004,4198,4300,4945,5663,5807,6123
2020-04-16,3525,4087,4279,4987,5740,5892,6161
2020-04-17,3556,3977,4098,4745,5446,5588,5870
2020-04-18,3443,3787,3905,4517,5152,5289,5583
2020-04-19,3118,3293,3381,3899,4460,4582,4854
2020-04-20,2681,3064,3294,4247,4903,5052,5283
2020-04-21,2695,3121,3377,4214,4855,4978,5248
2020-04-22,2482,2817,3002,4281,5365,5587,5989
2020-04-23,2670,3169,3524,4628,5399,5568,5839
2020-04-24,3466,3936,4088,4725,5377,5520,5769
2020-04-25,3201,3378,3468,4019,4635,4767,5110
2020-04-26,2946,3088,3180,3681,4253,4400,4726
2020-04-27,2939,3413,3651,4296,4937,5066,5344
2020-04-28,3192,3641,3798,4391,5027,5146,5397
2020-04-29,3216,3642,3953,4812,5504,5624,5979
2020-04-30,3714,4006,4128,4733,5393,5515,5769
2020-05-01,3766,3972,4077,4672,5318,5462,5728
2020-05-02,2984,3144,3230,3845,4878,5192,5734
2020-05-03,2708,2845,2937,3481,4367,4713,5306
2020-05-04,2805,2953,3035,3505,4016,4139,4421
2020-05-05,2890,3066,3151,3623,4129,4241,4497
2020-05-06,2886,3116,3213,3691,4212,4312,4534
2020-05-07,2913,3103,3190,3659,4185,4297,4493
2020-05-08,2594,2733,2799,3228,3694,3815,4087
2020-05-09,2019,2138,2206,2734,3670,3875,4320
2020-05-10,1992,2095,2157,2509,2922,3044,3457
2020-05-11,1914,2174,2351,3125,3686,3792,4027
2020-05-12,2219,2629,2747,3198,3683,3787,3991
2020-05-13,2516,2693,2770,3197,3655,3757,3965
2020-05-14,2228,2347,2412,2789,3209,3322,3621
2020-05-15,2114,2240,2305,2658,3056,3153,3381
2020-05-16,1837,1943,1994,2321,2729,2882,3277
2020-05-17,1626,1727,1772,2068,2435,2611,3030
2020-05-18,1795,2015,2089,2420,2779,2854,3002
2020-05-19,1691,1928,2108,2700,3117,3207,3405
2020-05-20,2037,2205,2277,2626,3004,3093,3264
2020-05-21,2048,2159,2219,2559,2927,3005,3176
2020-05-22,1774,1871,1931,2236,2600,2706,3030
2020-05-23,1433,1522,1570,1989,2712,2873,3186
2020-05-24,1265,1333,1374,1720,2422,2599,2964
2020-05-25,1333,1401,1440,1669,1925,1991,2148
2020-05-26,1318,1394,1431,1648,1885,1938,2054
2020-05-27,1331,1441,1488,1716,1961,2016,2129
2020-05-28,1325,1420,1458,1679,1914,1964,2082
2020-05-29,1233,1302,1336,1541,1766,1821,1924
2020-05-30,989,1047,1074,1272,1541,1667,1886
2020-05-31,924,973,1000,1167,1358,1414,1579
2020-06-01,975,1115,1160,1347,1544,1588,1672
2020-06-02,1020,1146,1186,1373,1577,1620,1706
2020-06-03,1045,1115,1145,1316,1510,1551,1629
2020-06-04,1003,1056,1085,1252,1434,1472,1557
2020-06-05,926,975,1004,1160,1332,1373,1470
2020-06-06,734,776,799,969,1275,1359,1500
2020-06-07,647,684,705,847,1073,1169,1320
2020-06-08,723,832,873,1023,1184,1217,1307
2020-06-09,752,876,917,1074,1252,1284,1366
2020-06-10,841,935,967,1123,1288,1323,1397
2020-06-11,820,866,890,1029,1185,1218,1299
2020-06-12,833,884,912,1050,1201,1238,1304
2020-06-13,756,798,821,949,1096,1133,1217
2020-06-14,698,737,757,879,1020,1060,1159
2020-06-15,783,837,861,992,1136,1164,1234
2020-06-16,801,872,897,1035,1184,1218,1274
2020-06-17,799,844,866,1000,1144,1175,1250
2020-06-18,814,859,883,1017,1162,1194,1266
2020-06-19,802,849,872,1004,1149,1179,1243
2020-06-20,626,667,686,855,1150,1217,1353
2020-06-21,575,609,625,768,1034,1107,1259
2020-06-22,680,728,748,871,1008,1034,1110
2020-06-23,682,729,750,869,1001,1034,1092
2020-06-24,635,672,692,802,924,956,1012
2020-06-25,588,620,638,742,859,890,956
2020-06-26,546,576,592,688,802,827,897
2020-06-27,524,556,572,665,768,792,846
2020-06-28,388,416,429,558,768,806,892
2020-06-29,471,506,522,611,711,733,781
2020-06-30,355,377,387,459,546,571,649
2020-07-01,299,336,352,460,581,607,672
2020-07-02,260,293,311,421,549,577,640
2020-07-03,303,372,394,470,551,569,603
2020-07-04,446,471,483,559,646,661,691
2020-07-05,408,427,440,510,588,605,639
2020-07-06,316,333,343,411,502,540,620
2020-07-07,348,406,439,526,610,628,665
2020-07-08,367,437,476,576,668,689,728
2020-07-09,449,502,519,603,697,715,758
2020-07-10,432,457,470,546,632,653,695
2020-07-11,435,498,534,701,820,839,881
2020-07-12,517,549,564,655,752,776,820
2020-07-13,462,490,504,591,690,721,802
2020-07-14,469,522,544,703,940,1012,1100
2020-07-15,469,494,510,601,713,755,865
2020-07-16,523,548,565,653,753,775,818
2020-07-17,549,578,592,684,786,807,850
2020-07-18,586,649,671,779,893,916,965
2020-07-19,593,625,642,741,851,873,931
2020-07-20,526,551,567,667,793,840,952
2020-07-21,430,459,480,651,887,934,1013
2020-07-22,476,504,519,610,720,755,865
2020-07-23,537,605,630,735,850,876,925
2020-07-24,582,624,646,751,863,889,941
2020-07-25,603,640,659,763,877,902,958
2020-07-26,604,639,658,760,876,901,951
2020-07-27,577,609,626,726,836,863,928
2020-07-28,499,527,541,642,788,843,937
2020-07-29,599,646,666,771,883,905,957
2020-07-30,627,682,703,810,930,953,1010
2020-07-31,662,712,736,848,971,997,1049
2020-08-01,636,668,688,796,912,941,1001
2020-08-02,624,657,675,782,902,930,993
2020-08-03,690,752,775,892,1018,1045,1099
2020-08-04,594,627,642,751,879,920,1032
2020-08-05,692,740,761,877,1003,1031,1088
2020-08-06,720,779,800,923,1054,1085,1147
2020-08-07,722,758,782,904,1040,1067,1135
2020-08-08,658,694,715,830,959,990,1084
2020-08-09,738,842,879,1021,1168,1200,1260
2020-08-10,699,736,757,878,1013,1045,1124
2020-08-11,804,891,923,1068,1222,1248,1313
2020-08-12,826,873,897,1032,1182,1214,1279
2020-08-13,885,941,969,1114,1273,1305,1379
2020-08-14,907,1030,1102,1303,1491,1536,1615
2020-08-15,898,946,971,1124,1297,1338,1440
2020-08-16,929,977,1001,1161,1332,1373,1460
2020-08-17,725,772,795,1097,1472,1534,1675
2020-08-18,893,950,977,1140,1326,1368,1469
2020-08-19,736,773,796,934,1099,1148,1271
2020-08-20,854,945,978,1135,1306,1337,1418
2020-08-21,850,901,925,1072,1231,1263,1331
2020-08-22,881,1014,1062,1228,1405,1447,1520
2020-08-23,874,922,946,1093,1254,1290,1381
2020-08-24,825,873,897,1036,1195,1229,1317
2020-08-25,906,977,1005,1157,1317,1352,1423
2020-08-26,907,962,988,1136,1299,1333,1415
2020-08-27,869,994,1075,1343,1557,1605,1686
2020-08-28,1018,1079,1110,1278,1461,1500,1582
2020-08-29,935,991,1017,1177,1355,1400,1500
2020-08-30,997,1118,1194,1512,1754,1799,1881
2020-08-31,1130,1195,1228,1417,1622,1667,1759
2020-09-01,1101,1164,1194,1378,1581,1629,1729
2020-09-02,1200,1269,1302,1497,1710,1758,1851
2020-09-03,1266,1401,1446,1672,1906,1953,2045
2020-09-04,1381,1540,1592,1838,2092,2146,2261
2020-09-05,1466,1549,1587,1821,2076,2132,2235
2020-09-06,1379,1525,1594,2172,2767,2830,2964
2020-09-07,1607,1858,2022,2578,2975,3043,3224
2020-09-08,2013,2126,2188,2524,2888,2964,3123
2020-09-09,2197,2304,2369,2720,3112,3189,3367
2020-09-10,2389,2510,2575,2951,3364,3466,3647
2020-09-11,2694,2877,2959,3398,3860,3951,4140
2020-09-12,2856,3004,3082,3527,4015,4123,4338
2020-09-13,2864,3002,3079,3537,4062,4172,4434
2020-09-14,2507,2656,2734,3359,4432,4648,5046
2020-09-15,2725,2872,2939,3411,3960,4119,4667
2020-09-16,3158,3341,3434,3942,4498,4623,4879
2020-09-17,2907,3089,3175,3651,4201,4345,4645
2020-09-18,3348,3568,3670,4210,4806,4933,5185
2020-09-19,3530,3727,3822,4373,4983,5136,5399
2020-09-20,3331,3494,3589,4137,4737,4881,5253
2020-09-21,3578,3762,3868,4416,5047,5175,5464
2020-09-22,3848,4089,4194,4798,5458,5588,5879
2020-09-23,3929,4509,4770,5576,6348,6507,6794
2020-09-24,4449,5068,5281,6111,6969,7144,7546
2020-09-25,5077,5539,5720,6518,7400,7568,8009
2020-09-26,5068,5332,5478,6277,7169,7369,7811
2020-09-27,4936,5208,5348,6146,7067,7297,7877
2020-09-28,4025,4303,4443,6033,8004,8319,9077
2020-09-29,5443,5865,6052,7006,8050,8255,8739
2020-09-30,5711,6018,6202,7132,8144,8366,8835
2020-10-01,5741,6012,6176,7097,8101,8321,8737
2020-10-02,5765,6073,6216,7163,8192,8425,8964
2020-10-03,5312,5774,6022,7853,10703,11238,12071
2020-10-04,5460,5973,6238,8095,10297,10796,12190
2020-10-05,5767,6544,7045,10532,12563,12794,13271
2020-10-06,10638,11315,11623,13271,15012,15436,16104
2020-10-07,11279,11825,12120,13843,15701,16074,16846
2020-10-08,12210,13680,14207,16258,18408,18815,19570
2020-10-09,12147,12707,13037,15005,17179,17706,19006
2020-10-10,12966,13646,14009,16028,18310,18828,19965
2020-10-11,11853,12454,12762,14970,18204,19537,21695
2020-10-12,12262,12880,13205,15256,17657,18337,20423
2020-10-13,13877,14607,14960,17139,19501,20020,21167
2020-10-14,15157,16076,16537,18972,21530,22041,23254
2020-10-15,15387,16238,16616,18987,21623,22205,23334
2020-10-16,13844,14582,14958,17263,19936,20715,23083
2020-10-17,14070,14758,15074,17298,19886,20536,22110
2020-10-18,14232,14942,15337,17601,20109,20664,21923
2020-10-19,14981,15855,16270,18590,21157,21717,22960
2020-10-20,15925,17154,17611,20213,22913,23493,24612
2020-10-21,14985,16771,18059,23056,26723,27287,28758
2020-10-22,17228,18126,18594,21396,24432,25071,26369
2020-10-23,17044,17919,18388,21118,24064,24830,26351
2020-10-24,18153,19311,19800,22627,25719,26369,27863
2020-10-25,16765,17668,18130,20859,23914,24600,26251
2020-10-26,17225,18136,18613,21308,24330,24940,26358
2020-10-27,17968,19055,19582,22393,25476,26167,27660
2020-10-28,18780,20077,20663,23657,26877,27516,29041
2020-10-29,18582,19579,20149,23014,26166,26830,28487
2020-10-30,19070,20281,20888,23888,27132,27873,29333
2020-10-31,18166,19108,19628,22532,25717,26447,27999
2020-11-01,18830,19777,20313,23236,26444,27183,28643
2020-11-02,16504,17385,17812,20541,23686,24514,26886
2020-11-03,16730,17536,17987,20658,23615,24290,25759
2020-11-04,17287,19554,20255,23369,26619,27348,28728
2020-11-05,18405,19697,20271,23238,26424,27196,28465
2020-11-06,18428,19540,20063,22997,26219,26870,28215
2020-11-07,19217,20443,21014,24066,27352,28049,29647
2020-11-08,17530,18344,18877,21662,24823,25507,27386
2020-11-09,17619,18583,19044,21832,24972,25601,27261
2020-11-10,16989,17858,18325,21031,24058,24706,26206
2020-11-11,17927,18984,19540,22341,25419,26028,27380
2020-11-12,15821,17176,18036,24999,31339,32396,34181
2020-11-13,18925,21662,22477,26030,29813,30656,32266
2020-11-14,21146,22388,23040,26422,30048,30765,32324
2020-11-15,20696,21777,22329,25617,29315,30083,31752
2020-11-16,18671,19699,20155,23390,27030,27984,30801
2020-11-17,17615,18520,19018,22062,25640,26736,30036
2020-11-18,17139,17850,18316,21122,24343,25170,27276
2020-11-19,18211,19244,19768,22687,25964,26578,28015
2020-11-20,16946,17817,18319,20982,23978,24675,26158
2020-11-21,16530,17362,17821,20461,23451,24108,25506
2020-11-22,15637,16443,16866,19360,22195,22810,24233
2020-11-23,13677,14301,14634,16966,19659,20406,22395
2020-11-24,10709,11274,11689,14589,19826,20892,23208
2020-11-25,12304,14131,14780,17264,19986,20540,21756
2020-11-26,13523,14347,14758,17047,19581,20087,21230
2020-11-27,12223,12894,13235,15242,17461,17926,18892
2020-11-28,12456,13277,13633,15629,17813,18292,19305
2020-11-29,10547,11072,11347,13174,15177,15700,17133
2020-11-30,10258,10792,11087,12771,14629,15022,15932
2020-12-01,10437,11142,11440,13133,14992,15410,16201
2020-12-02,9677,11240,12151,14492,16625,17093,17877
2020-12-03,10952,11962,12316,14158,16107,16501,17320
2020-12-04,11213,12583,13015,15131,17247,17602,18459
2020-12-05,11940,12797,13148,15056,17145,17601,18455
2020-12-06,12254,13650,14127,16230,18497,18959,19941
2020-12-07,12248,12840,13179,15103,17251,17709,18636
2020-12-08,10924,11524,11846,13667,15799,16402,18195
2020-12-09,12717,13556,13945,15945,18176,18628,19524
2020-12-10,12159,13851,14878,18469,21264,21854,23039
2020-12-11,14326,16422,17205,19939,22706,23186,24392
2020-12-12,16676,17642,18142,20702,23477,23984,25079
2020-12-13,15831,16605,17056,19557,22405,23038,24571
2020-12-14,16938,17788,18233,20856,23737,24368,25762
2020-12-15,16187,17020,17479,20105,23001,23751,25527
2020-12-16,18966,20453,21087,24072,27308,28007,29541
2020-12-17,18251,20026,21081,28580,34039,35048,36649
2020-12-18,22716,24074,24710,28469,32493,33365,35008
2020-12-19,22851,24100,24778,28432,32560,33465,35720
2020-12-20,27650,29192,29945,34336,38972,39899,41825
2020-12-21,27729,29105,29903,34197,38929,39984,42272
2020-12-22,30294,31794,32523,37262,42387,43515,45861
2020-12-23,32330,33991,34806,39714,44974,46222,48901
2020-12-24,33154,34873,35703,40833,46591,47875,50678
2020-12-25,30142,31824,32614,38219,46048,49298,55177
2020-12-26,30996,32476,33187,38690,44930,46718,52416
2020-12-27,29685,31072,31885,37215,44353,47124,53321
2020-12-28,33622,35428,36435,41728,47538,48913,51599
2020-12-29,35919,40672,42439,49054,55821,57341,60181
2020-12-30,39508,42061,43106,49312,56201,57610,60054
2020-12-31,43090,45940,47220,53976,61468,63053,66042
2021-01-01,43727,46007,47151,53986,61360,63012,66515
2021-01-02,46341,49013,50367,57613,65631,67226,71223
2021-01-03,46142,48557,49735,56992,64910,66755,70628
2021-01-04,48584,50987,52262,59839,68114,69827,73795
2021-01-05,49914,52753,54024,61711,70173,72131,76035
2021-01-06,51824,54211,55489,63411,72084,73959,78069
2021-01-07,46342,48758,50021,57827,66938,69614,76512
2021-01-08,53416,56553,57955,66364,75372,77424,81685
2021-01-09,50283,53152,54396,62441,71111,73117,77470
2021-01-10,47389,49875,51226,58780,67418,69472,74813
2021-01-11,41802,43729,45001,52435,62014,66023,75774
2021-01-12,39750,41600,42740,49490,57194,59524,65979
2021-01-13,39495,41495,42610,48910,55990,57773,61020
2021-01-14,39022,41178,42332,48380,55160,56551,60043
2021-01-15,38320,43542,44942,51776,59295,60826,63444
2021-01-16,34889,36722,37672,43418,49715,51263,55016
2021-01-17,32400,34102,35021,40275,46206,47576,50703
2021-01-18,30891,32441,33316,38320,43701,44915,47238
2021-01-19,27697,29273,30035,34592,39631,40779,43242
2021-01-20,27736,30956,31945,36809,41848,43071,45255
2021-01-21,27178,30293,31314,35998,40921,42100,44039
2021-01-22,27076,30831,32122,37181,42384,43440,45440
2021-01-23,27153,28633,29350,33613,38295,39289,41107
2021-01-24,25005,26260,26955,30960,35359,36337,38532
2021-01-25,20113,21141,21699,25359,30362,32532,37152
2021-01-26,17799,18707,19234,22346,26031,27372,31618
2021-01-27,18798,20406,21064,24300,27847,28551,30131
2021-01-28,16950,19832,21491,25938,29907,30725,32381
2021-01-29,18155,21377,22837,26687,30621,31492,33089
2021-01-30,18991,20095,20638,23687,27053,27792,29336
2021-01-31,17741,18642,19104,21970,25223,25936,27471
2021-02-01,15903,16783,17280,19838,22788,23471,25300
